Image Number,Category,Annotator,Expertise Level,Host,Version,NGT,NO,GT Label,Pred Label,Pred Area
N09,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,14.0,13.0,2.0,139.076771
N09,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,12.0,1.0,11.0,402.33843200000007
N09,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,12.0,2.0,12.0,255.893014
N09,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,12.0,4.0,10.0,338.803175
N09,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,12.0,5.0,2.0,98.574977
N09,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,12.0,6.0,9.0,364.1554430000001
N09,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,12.0,7.0,7.0,440.006131
N09,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,12.0,8.0,3.0,289.747567
N09,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,12.0,9.0,4.0,351.47930900000006
N09,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,12.0,10.0,5.0,274.70109900000006
N09,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,12.0,11.0,8.0,141.653221
N09,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,12.0,12.0,6.0,384.04563700000006
N09,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,12.0,13.0,1.0,142.013924
N10,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,12.0,1.0,1.0,209.156211
N10,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,12.0,2.0,2.0,184.010059
N10,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,12.0,4.0,4.0,193.28527900000003
N10,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,12.0,5.0,5.0,514.207891
N10,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,12.0,6.0,6.0,157.83332700000005
N10,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,12.0,7.0,7.0,101.25448500000002
N10,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,12.0,8.0,8.0,173.75578800000002
N10,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,12.0,9.0,9.0,257.541942
N10,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,12.0,10.0,10.0,242.49547400000003
N10,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,12.0,11.0,11.0,362.867218
N10,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,12.0,12.0,12.0,184.731465
N10,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,11.0,1.0,6.0,121.144679
N10,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,11.0,2.0,10.0,201.16921600000003
N10,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,11.0,4.0,5.0,295.10658300000006
N10,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,11.0,5.0,8.0,536.159245
N10,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,11.0,6.0,11.0,147.78517200000002
N10,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,11.0,7.0,7.0,84.40450200000001
N10,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,11.0,8.0,9.0,171.127809
N10,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,11.0,9.0,2.0,348.54215600000003
N10,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,11.0,10.0,4.0,271.60935900000004
N10,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,11.0,11.0,3.0,449.435938
N10,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,11.0,12.0,1.0,185.710516
N10,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,17.0,1.0,1.0,149.07339700000003
N10,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,17.0,2.0,4.0,213.793821
N10,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,17.0,4.0,3.0,202.14826700000003
N10,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,17.0,5.0,15.0,534.458788
N10,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,17.0,6.0,14.0,152.216666
N10,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,17.0,7.0,12.0,82.85863200000001
N10,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,17.0,8.0,17.0,177.77505000000002
N10,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,17.0,9.0,2.0,352.92212100000006
N10,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,17.0,10.0,8.0,281.09069500000004
N10,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,17.0,11.0,16.0,365.34061
N10,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,17.0,12.0,6.0,183.494769
N11,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,11.0,1.0,1.0,108.05631300000002
N11,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,11.0,2.0,2.0,146.34236
N11,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,11.0,3.0,3.0,260.47909500000003
N11,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,11.0,4.0,4.0,152.319724
N11,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,11.0,5.0,5.0,526.677909
N11,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,11.0,6.0,6.0,241.15572000000003
N11,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,11.0,7.0,7.0,85.84731400000001
N11,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,11.0,8.0,8.0,200.550868
N11,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,11.0,9.0,9.0,151.701376
N11,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,11.0,10.0,10.0,140.62264100000002
N11,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,11.0,11.0,11.0,392.754038
N11,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,14.0,1.0,9.0,126.03993400000002
N11,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,14.0,2.0,11.0,227.861238
N11,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,14.0,3.0,6.0,221.21399700000003
N11,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,14.0,4.0,4.0,172.62215
N11,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,14.0,5.0,3.0,572.48719
N11,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,14.0,6.0,2.0,199.98404900000003
N11,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,14.0,7.0,8.0,87.49624200000001
N11,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,14.0,8.0,5.0,226.263839
N11,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,14.0,9.0,13.0,128.10109400000002
N11,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,14.0,10.0,12.0,125.78228900000002
N11,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,14.0,11.0,10.0,399.09210500000006
N11,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,15.0,1.0,11.0,123.257368
N11,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,15.0,2.0,1.0,189.78130700000003
N11,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,15.0,3.0,10.0,216.061097
N11,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,15.0,4.0,15.0,202.199796
N11,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,15.0,5.0,8.0,582.1231130000001
N11,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,15.0,6.0,6.0,212.402538
N11,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,15.0,7.0,4.0,119.23810600000002
N11,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,15.0,8.0,9.0,240.53737200000003
N11,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,15.0,9.0,14.0,128.92555800000002
N11,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,15.0,10.0,5.0,125.833818
N11,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,15.0,11.0,12.0,410.01625300000006
N12,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,8.0,8.0,2.0,2.0,333.85639100000003
N12,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,8.0,8.0,3.0,3.0,210.702081
N12,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,8.0,8.0,4.0,4.0,172.51909200000003
N12,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,8.0,8.0,5.0,5.0,174.322607
N12,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,8.0,8.0,7.0,7.0,664.6210420000001
N12,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,8.0,8.0,8.0,8.0,328.39431700000006
N12,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,8.0,7.0,2.0,3.0,383.787992
N12,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,8.0,7.0,3.0,6.0,188.338495
N12,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,8.0,7.0,4.0,7.0,250.01870800000003
N12,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,8.0,7.0,5.0,5.0,174.425665
N12,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,8.0,7.0,7.0,2.0,838.8405910000001
N12,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,8.0,7.0,8.0,1.0,353.695056
N12,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,8.0,7.0,2.0,5.0,368.380821
N12,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,8.0,7.0,3.0,1.0,208.795508
N12,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,8.0,7.0,4.0,3.0,159.482255
N12,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,8.0,7.0,5.0,2.0,172.51909200000003
N12,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,8.0,7.0,7.0,6.0,526.62638
N12,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,8.0,7.0,8.0,7.0,401.513968
N14,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,6.0,6.0,1.0,1.0,110.581234
N14,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,6.0,6.0,2.0,2.0,130.36837000000003
N14,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,6.0,6.0,3.0,3.0,220.441062
N14,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,6.0,6.0,4.0,4.0,224.821027
N14,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,6.0,6.0,5.0,5.0,588.0489480000001
N14,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,6.0,5.0,1.0,5.0,142.63227200000003
N14,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,6.0,5.0,2.0,1.0,192.71846
N14,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,6.0,5.0,3.0,2.0,259.29392800000005
N14,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,6.0,5.0,4.0,3.0,338.854704
N14,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,6.0,5.0,5.0,4.0,657.200866
N14,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,6.0,6.0,1.0,1.0,160.461306
N14,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,6.0,6.0,2.0,5.0,196.377019
N14,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,6.0,6.0,3.0,6.0,213.58770500000003
N14,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,6.0,6.0,4.0,4.0,265.786582
N14,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,6.0,6.0,5.0,3.0,499.8828290000001
N15,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,16.0,1.0,1.0,498.59460400000006
N15,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,16.0,2.0,2.0,64.514308
N15,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,16.0,3.0,3.0,209.56844300000003
N15,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,16.0,4.0,4.0,271.97006200000004
N15,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,16.0,5.0,5.0,181.485138
N15,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,16.0,7.0,7.0,547.907857
N15,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,16.0,8.0,8.0,460.5146730000001
N15,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,16.0,10.0,10.0,313.65702300000004
N15,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,16.0,11.0,11.0,545.9497550000001
N15,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,16.0,14.0,14.0,167.366192
N15,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,16.0,16.0,16.0,405.224056
N15,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,15.0,1.0,9.0,588.2035350000001
N15,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,15.0,2.0,5.0,100.89378200000002
N15,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,15.0,3.0,6.0,363.382508
N15,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,15.0,4.0,11.0,478.75593900000007
N15,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,15.0,5.0,13.0,158.142501
N15,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,15.0,7.0,10.0,689.6641360000001
N15,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,15.0,8.0,1.0,534.5618460000001
N15,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,15.0,10.0,12.0,306.64907900000003
N15,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,15.0,11.0,7.0,662.0445920000001
N15,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,15.0,14.0,2.0,200.911571
N15,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,15.0,16.0,8.0,365.34061
N15,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,11.0,1.0,11.0,633.4975260000001
N15,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,11.0,2.0,6.0,80.33371100000001
N15,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,11.0,3.0,4.0,365.907429
N15,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,11.0,4.0,5.0,367.659415
N15,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,11.0,5.0,2.0,202.40591200000003
N15,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,11.0,7.0,3.0,674.720726
N15,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,11.0,8.0,8.0,563.7272600000001
N15,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,11.0,10.0,10.0,364.052385
N15,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,11.0,11.0,7.0,604.332112
N15,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,11.0,14.0,1.0,139.84970600000003
N15,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,11.0,16.0,9.0,373.894424
N16,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,14.0,14.0,1.0,1.0,173.75578800000002
N16,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,14.0,14.0,2.0,2.0,810.4996410000001
N16,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,14.0,14.0,3.0,3.0,209.92914600000003
N16,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,14.0,14.0,4.0,4.0,452.99143900000007
N16,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,14.0,14.0,5.0,5.0,250.327882
N16,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,14.0,14.0,7.0,7.0,1073.246012
N16,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,14.0,14.0,8.0,8.0,637.053027
N16,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,14.0,14.0,9.0,9.0,171.385454
N16,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,14.0,14.0,10.0,10.0,354.725636
N16,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,14.0,14.0,11.0,11.0,381.984477
N16,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,14.0,14.0,12.0,12.0,202.50897000000003
N16,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,14.0,14.0,13.0,13.0,803.6978130000001
N16,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,14.0,14.0,14.0,14.0,607.2177360000001
N16,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,14.0,14.0,1.0,7.0,223.945034
N16,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,14.0,14.0,2.0,8.0,938.085445
N16,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,14.0,14.0,3.0,4.0,172.20991800000002
N16,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,14.0,14.0,4.0,11.0,421.45569100000006
N16,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,14.0,14.0,5.0,12.0,169.066649
N16,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,14.0,14.0,7.0,14.0,1113.1809870000002
